question,correct_answer,possible_answers,type
Who was the composer of Every Night?,Paul McCartney,"[""Paul McCartney"", ""Sir Paul McCartney"", ""Macca"", ""James Paul McCartney""]",composer
What is the capital of Othón P. Blanco Municipality?,Chetumal,"[""Chetumal"", ""Chetumal, Quintana Roo"", ""Chetumel""]",capital
What genre is Relax?,trance,"[""trance"", ""trance music""]",genre
What is the capital of South Dakota?,Pierre,"[""Pierre"", ""Pierre, South Dakota"", ""Pierre, SD""]",capital
Who was the producer of Gorgeous?,Jackie Chan,"[""Jackie Chan"", ""Cheng Lung"", ""Sing Lung"", ""Y'uen Lo"", ""Pao Pao"", ""Kong-sang Chan"", ""Kung-Fu Master"", ""Yuan-Lou Chen"", ""Yuan Lung Chen"", ""Yuen Lung Chen"", ""Chen Yuan Lung"", ""Chen Yuen Lung"", ""Jacky Chan"", ""Chen Yuan-lung"", ""Lung Cheng"", ""Chen Lung"", ""Chan Kong-sang""]",producer
Who was the director of Heaven over the Marshes?,Augusto Genina,"[""Augusto Genina""]",director
Who was the screenwriter for The Greatest?,Shana Feste,"[""Shana Feste""]",screenwriter
In what country is Givron?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",country
What is the capital of Takamatsu Domain?,Takamatsu,"[""Takamatsu""]",capital
What genre is To Mother?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
Who was the director of The Alternate?,Sam Firstenberg,"[""Sam Firstenberg""]",director
What sport does earned run average play?,baseball,"[""baseball"", ""America's pastime"", ""⚾""]",sport
In what city was Jean Arp born?,Strasbourg,"[""Strasbourg"", ""Straßburg"", ""Strassburg"", ""Schdroosburi"", ""Strossburi"", ""Strossburig"", ""Strosburi""]",place of birth
Who was the screenwriter for Absentia?,Mike Flanagan,"[""Mike Flanagan""]",screenwriter
Who is the author of Les Vingt et un Jours d'un neurasthénique?,Octave Mirbeau,"[""Octave Mirbeau"", ""Mirbeau"", ""Octave Henri Marie Mirbeau""]",author
Who was the composer of Listen?,Anne Preven,"[""Anne Preven"", ""Henry Krieger"", ""Scott Cutler""]",composer
In what country is Goreme?,Bulgaria,"[""Bulgaria"", ""Republic of Bulgaria"", ""bg"", ""🇧🇬"", ""BUL"", ""BGR""]",country
What genre is You Are Free?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
Who was the screenwriter for Thor?,Mark Protosevich,"[""Mark Protosevich"", ""Mark David Protosevich"", ""Ashley Miller"", ""Ashley Edward Miller"", ""Zack Stentz""]",screenwriter
Who was the composer of Phenomenon?,Thomas Newman,"[""Thomas Newman"", ""Thomas Montgomery Newman""]",composer
What is the religion of L. Ron Hubbard?,Scientology,"[""Scientology""]",religion
What genre is One Voice?,rhythm and blues,"[""rhythm and blues"", ""R&B"", ""RnB"", ""R and B"", ""R & B""]",genre
Who was the screenwriter for These Children?,Mario Mattoli,"[""Mario Mattoli""]",screenwriter
What is Chang'an the capital of?,Western Wei,"[""Western Wei"", ""Western Yan"", ""Former Qin"", ""Qian Qin"", ""Later Qin"", ""Xin dynasty"", ""Xin chao"", ""New dynasty"", ""Northern Zhou"", ""Bei Zhou"", ""Han dynasty"", ""Han Empire"", ""Han"", ""Han China"", ""Sui dynasty"", ""Tang Empire"", ""Tang China"", ""Tang"", ""Tang dynasty""]",capital of
Who was the producer of Man of the Year?,Barry Levinson,"[""Barry Levinson""]",producer
Who was the screenwriter for Pilot?,Brad Falchuk,"[""Brad Falchuk"", ""Bradley Douglas Falchuk"", ""Ian Brennan""]",screenwriter
Who was the producer of The Jolson Story?,Sidney Buchman,"[""Sidney Buchman"", ""Sidney R. Buchman"", ""Sidney Robert Buchman""]",producer
Who was the producer of For No One?,George Martin,"[""George Martin"", ""Sir George Henry Martin"", ""Sir George Martin""]",producer
Who is the author of Jack?,John Farnham,"[""John Farnham"", ""John Peter Farnham""]",author
Who was the director of The Interview?,Seth Rogen,"[""Seth Rogen"", ""Seth Aaron Rogen"", ""Evan Goldberg""]",director
What is the capital of Palestinian territories?,Jerusalem,"[""Jerusalem"", ""Yerushalayim"", ""J'lem"", ""Aelia Capitolina"", ""Al-Quds"", ""Jerusalem, Middle East""]",capital
Who was the director of The Creator?,Albert Dupontel,"[""Albert Dupontel""]",director
Who is the father of Arjun Sarja?,Shakti Prasad,"[""Shakti Prasad""]",father
Who was the director of Too Much (Little) Love?,Jacques Doillon,"[""Jacques Doillon""]",director
What is Claire Berlinski's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
Who was the screenwriter for Eva?,Ingmar Bergman,"[""Ingmar Bergman"", ""Ernst Ingmar Bergman""]",screenwriter
What genre is Break Free?,comedy-drama,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
Who was the director of Guru?,Umesh Mehra,"[""Umesh Mehra""]",director
Who was the director of Leader?,Ram Mukherjee,"[""Ram Mukherjee""]",director
Who was the composer of La rondine?,Giacomo Puccini,"[""Giacomo Puccini"", ""Puccini"", ""Giacomo Antonio Domenico Michele Secondo Maria Puccini""]",composer
What genre is Remodeled?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
Who is the author of Rose?,Tomson Highway,"[""Tomson Highway""]",author
Who was the composer of The Relic?,John Debney,"[""John Debney"", ""John C. Debney"", ""John Cardon Debney""]",composer
Who was the screenwriter for Bread and Circuses?,Gene Roddenberry,"[""Gene Roddenberry"", ""Eugene Wesley Roddenberry""]",screenwriter
Who is the author of The Secret?,Mike Richardson,"[""Mike Richardson""]",author
What is Harare the capital of?,Rhodesia,"[""Rhodesia"", ""Republic of Rhodesia"", ""Southern Rhodesia"", ""Zimbabwe"", ""Republic of Zimbabwe"", ""Zimbabwe Rhodesia"", ""🇿🇼"", ""zw"", ""ZIM""]",capital of
Who was the screenwriter for My Neighbor Totoro?,Hayao Miyazaki,"[""Hayao Miyazaki"", ""Miyazaki Hayao"", ""Tsutomu Teruki""]",screenwriter
What is Tiffany Pollard's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
Who was the producer of Particle Fever?,Mark Levinson,"[""Mark Levinson""]",producer
What genre is Living Lohan?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
Who is the author of Act One?,James Lapine,"[""James Lapine"", ""James Elliot Lapine""]",author
Who was the producer of Arizona?,Douglas Fairbanks,"[""Douglas Fairbanks"", ""Douglas Fairbanks, Sr."", ""Douglas Elton Thomas Ullman"", ""Douglas Ullman"", ""Doug Fairbanks""]",producer
Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
What genre is Samer el Nahhal?,hard rock,"[""hard rock""]",genre
Who was the screenwriter for I Will Follow?,Ava DuVernay,"[""Ava DuVernay"", ""Ava Marie DuVernay""]",screenwriter
Who is the mother of Utu?,Ningal,"[""Ningal""]",mother
Who is the father of Huw Edwards?,Hywel Teifi Edwards,"[""Hywel Teifi Edwards""]",father
Who is the author of James Bond?,Ian Fleming,"[""Ian Fleming"", ""Ian Lancaster Fleming""]",author
What color is York City F.C.?,red,"[""red"", ""red color""]",color
What genre is Brave?,musical film,"[""musical film"", ""musical movie""]",genre
Who was the screenwriter for April?,Nanni Moretti,"[""Nanni Moretti"", ""Giovanni \""Nanni\"" Moretti"", ""Giovanni Moretti""]",screenwriter
What sport does National Stadium play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What genre is The Attack?,psychedelic rock,"[""psychedelic rock"", ""acid rock"", ""psy rock"", ""psyrock"", ""psychedelia""]",genre
What is Todd Verow's occupation?,cinematographer,"[""cinematographer"", ""director of photography"", ""DOP"", ""film director"", ""movie director"", ""director"", ""motion picture director"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
Who was the director of Allen?,Michael W. Watkins,"[""Michael W. Watkins"", ""Michael Watkins""]",director
Who is the author of The Hand That First Held Mine?,Maggie O'Farrell,"[""Maggie O'Farrell""]",author
Who was the composer of Forever?,Mariah Carey,"[""Mariah Carey"", ""MC"", ""Mirage"", ""Mimi"", ""Elusive Chanteuse"", ""Songbird Supreme"", ""Carey"", ""Walter Afanasieff"", ""Baby Love"", ""Vladimir Nikitich Afanasiev"", ""Vladimir N. Afanasiev""]",composer
In what country is Khabb wa ash Sha'af District?,Yemen,"[""Yemen"", ""Republic of Yemen"", ""ye"", ""Rep. Yemen"", ""🇾🇪"", ""YEM""]",country
Who was the director of Pilot?,Phillip Noyce,"[""Phillip Noyce""]",director
In what city was Ferdinand Elle born?,Mechelen,"[""Mechelen"", ""Mechlin"", ""Malines""]",place of birth
"Who is the author of Washington, D.C.?",Gore Vidal,"[""Gore Vidal"", ""Eugene Luther Gore Vidal"", ""Gor Vidal"", ""Cameron Kay"", ""Eugene Luther Vidal"", ""Edgar Box"", ""Katherine Everard"", ""Eugene Vidal""]",author
Who was the director of In Theory?,Patrick Stewart,"[""Patrick Stewart"", ""Sir Patrick Stewart"", ""Patrick Hewes Stewart""]",director
In what city was Pete Stewart born?,Statesville,"[""Statesville"", ""Statesville, North Carolina""]",place of birth
Who was the screenwriter for Morning Raga?,Mahesh Dattani,"[""Mahesh Dattani""]",screenwriter
Who was the composer of It's Easy to Remember (And So Hard to Forget)?,Richard Rodgers,"[""Richard Rodgers"", ""Richard Charles Rodgers""]",composer
What is Rodez the capital of?,Aveyron,"[""Aveyron"", ""Aveyron Department""]",capital of
Who was the producer of The Turning Point?,Nora Kaye,"[""Nora Kaye"", ""Nora Koreff"", ""Arthur Laurents"", ""Herbert Ross"", ""Herbert David Ross""]",producer
What is the capital of Goa?,Panaji,"[""Panaji"", ""Pangim"", ""Nova Goa"", ""Ponnje"", ""Panjim""]",capital
Who was the producer of Americana?,David Carradine,"[""David Carradine"", ""John Arthur Carradine""]",producer
Who was the screenwriter for Silence?,Jay Cocks,"[""Jay Cocks"", ""Martin Scorsese"", ""Martin Skorseze"", ""Martin Charles Scorsese""]",screenwriter
Who was the screenwriter for U Turn?,John Ridley,"[""John Ridley""]",screenwriter
In what country is Salem?,Sweden,"[""Sweden"", ""Kingdom of Sweden"", ""SE"", ""SWE"", ""🇸🇪""]",country
Who was the director of The Ruff & Reddy Show?,Joseph Barbera,"[""Joseph Barbera"", ""Joseph Roland Barbera"", ""Joseph Roland \""Joe\"" Barbera"", ""William Hanna"", ""William Denby Hanna"", ""William Denby \""Bill\"" Hanna"", ""Bill Hanna""]",director
Who was the screenwriter for Opera?,Dario Argento,"[""Dario Argento"", ""Sirio Bernadotte""]",screenwriter
Who was the composer of Singles?,Paul Westerberg,"[""Paul Westerberg"", ""Paul Harold Westerberg""]",composer
Who is the father of Selena Quintanilla?,"Abraham Quintanilla,","[""Abraham Quintanilla,"", ""Abraham Isaac Quintanilla""]",father
Who is the author of Persuasion?,Jane Austen,"[""Jane Austen""]",author
What is Žarko Petan's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
Who was the director of Fix?,Tao Ruspoli,"[""Tao Ruspoli"", ""Tao dei Principi Ruspoli""]",director
Who is the mother of Prince Paul of Yugoslavia?,Aurora Pavlovna Demidova,"[""Aurora Pavlovna Demidova"", ""Princess and Countess Aurora Pavlovna Demidova"", ""Aurora Pavlovna Demidoff, Principessa di San Donato"", ""Princess Aurora Pavlovna Demidova di San Donato""]",mother
Who was the producer of A Night to Remember?,William MacQuitty,"[""William MacQuitty""]",producer
Who was the screenwriter for Hangmen Also Die!?,Fritz Lang,"[""Fritz Lang"", ""Friedrich Christian Anton Lang"", ""Friedrich Christian Anton \""Fritz\"" Lang"", ""Fritz Lang (1890-1976)"", ""Bertolt Brecht"", ""Berŭtʻoltʻŭ Bŭrehitʻŭ"", ""Pertōl Pirekcṭ"", ""Mpertolt Mprecht"", ""Pu-lai-hsi-tʻe"", ""Pertōlṭ Pirekcṭ"", ""Perṭōlṭ Pireṣṭ"", ""Bertolt Breht"", ""Bert Brecht"", ""Eugen Berthold Friedrich Brecht"", ""Bertholt Brecht"", ""Bertolʹd Brekht"", ""Bertolʹt Brekht"", ""Brecht"", ""Bertold Brecht"", ""B. Brekht"", ""Bŭrehitʻŭ"", ""Pei-tʻo-erh-tʻe Pu-lai-hsi-tʻe""]",screenwriter
What is Ge You's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What genre is Tuff?,glam metal,"[""glam metal"", ""hair metal"", ""pop metal""]",genre
Who is the author of Line?,Israel Horovitz,"[""Israel Horovitz""]",author
What genre is Removal?,experimental music,"[""experimental music"", ""Experimental""]",genre
Who is the author of About Time?,Paul Davies,"[""Paul Davies"", ""Paul Charles William Davies""]",author
Who was the producer of The Rink?,Charlie Chaplin,"[""Charlie Chaplin"", ""Charles Spencer Chaplin"", ""Charles Chaplin"", ""Sir Charles Spencer Chaplin""]",producer
What genre is All I Need to Know?,country music,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",genre
Who was the producer of Demons?,Alex da Kid,"[""Alex da Kid"", ""Alexander Grant"", ""Alex Grant"", ""Alexander Junior Grant""]",producer
Who is the author of Shadow?,Bob Woodward,"[""Bob Woodward"", ""Robert Upshur Woodward"", ""Robert Woodward""]",author
Who is the author of Windy?,Ruthann Friedman,"[""Ruthann Friedman""]",author
In what country is El Carmen Rivero Tórrez?,Bolivia,"[""Bolivia"", ""Plurinational State of Bolivia"", ""bo"", ""bol"", ""🇧🇴"", ""Republic of Bolivia"", ""Bolivia (Plurinational State of)""]",country
What is the capital of Newfoundland and Labrador?,St. John's,"[""St. John's"", ""St John's, Newfoundland"", ""St Johns, Newfoundland"", ""St. John's, Newfoundland and Labrador"", ""Saint John's"", ""St. Johns"", ""St Johns"", ""Saint Johns""]",capital
What sport does FK Mladost Bački Jarak play?,association football,"[""association football"", ""football"", ""soccer""]",sport
In what city was Tony Shields born?,Strabane,"[""Strabane"", ""Straban"", ""An Srath Bán"", ""An Srath Ban""]",place of birth
Who was the producer of Bark?,Jefferson Airplane,"[""Jefferson Airplane"", ""The Jefferson Airplane""]",producer
Who was the director of The Cellar?,Kevin S. Tenney,"[""Kevin S. Tenney""]",director
Who was the director of Go Further?,Ron Mann,"[""Ron Mann"", ""Ronald Mann""]",director
What genre is Nineteen Eighty-Four?,political fiction,"[""political fiction""]",genre
Who was the director of Dave?,Ivan Reitman,"[""Ivan Reitman""]",director
What genre is Charles Hayter?,portrait,"[""portrait"", ""portraiture"", ""portrait art""]",genre
Who is the author of Britannicus?,Jean Racine,"[""Jean Racine"", ""Jean Baptiste Racine"", ""Jean-Baptiste Racine""]",author
Who was the producer of Tyr?,Black Sabbath,"[""Black Sabbath""]",producer
Who was the screenwriter for Rage?,Sally Potter,"[""Sally Potter"", ""Charlotte Sally Potter""]",screenwriter
Who was the producer of From Time to Time?,Julian Fellowes,"[""Julian Fellowes"", ""Julian Fellowes, Baron Fellowes of West Stafford"", ""The Lord Fellowes of West Stafford"", ""Baron Fellowes of West Stafford"", ""Julian Kitchener-Fellowes"", ""Julian Kitchener-Fellowes, Baron Fellowes of West Stafford"", ""Julian Alexander Kitchener-Fellowes, Baron Fellowes of West Stafford""]",producer
Who is the author of Ug?,Raymond Briggs,"[""Raymond Briggs"", ""Raymond Redvers Briggs""]",author
Who was the director of Gorgeous?,Vincent Kok,"[""Vincent Kok"", ""Vincent，Kok Tak Chiu"", ""Vincent Kok Tak-chiu""]",director
In what country is Victoria?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""Can.""]",country
Who was the screenwriter for Venicile Vyapari?,James Albert,"[""James Albert""]",screenwriter
Who is the author of Darkfever?,Karen Marie Moning,"[""Karen Marie Moning""]",author
Who was the composer of The Carter?,Lil Wayne,"[""Lil Wayne"", ""Dwayne Carter"", ""Dwayne Michael Carter Jr."", ""Tunechi"", ""Weezy F. Baby"", ""The President"", ""Baby D""]",composer
Who is the author of Living?,Henry Green,"[""Henry Green"", ""Henry Vincent Yorke"", ""Henry Yorke""]",author
Who was the producer of Swan Lake?,Toei Animation,"[""Toei Animation"", ""TOEI ANIMATION CO., LTD.""]",producer
Who was the director of Priceless?,Pierre Salvadori,"[""Pierre Salvadori""]",director
Who was the director of Compliance?,Craig Zobel,"[""Craig Zobel"", ""Roger Craig Zobel""]",director
Who was the screenwriter for The Wave?,Dennis Gansel,"[""Dennis Gansel""]",screenwriter
What sport does USR Sainte-Rose play?,association football,"[""association football"", ""football"", ""soccer""]",sport
