question,correct_answer,possible_answers,type
Who is the author of Five Get Into Trouble?,Enid Blyton,"[""Enid Blyton"", ""Enid Mary Blyton"", ""Mary Pollock""]",author
Who is the author of Breed?,Jim Starlin,"[""Jim Starlin""]",author
Who is the author of No Connection?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
Who is the author of Race Against Time?,Carolyn Keene,"[""Carolyn Keene"", ""Caroline Quine""]",author
Who is the author of A Sight for Sore Eyes?,Ruth Rendell,"[""Ruth Rendell"", ""Ruth Grasemann"", ""Barbara Vine"", ""Baroness Rendell of Babergh"", ""Ruth Barbara Grasemann"", ""Ruth Barbara Rendell""]",author
Who is the author of Berlin?,Jason Lutes,"[""Jason Lutes""]",author
Who is the author of A Marriage Proposal?,Anton Chekhov,"[""Anton Chekhov"", ""Anton Pavlovich Chekhov"", ""Antón Pávlovič Čéhov"", ""Antón Pávlovich Chékhov"", ""Chekhov""]",author
Who is the author of Skinner's Rules?,Quintin Jardine,"[""Quintin Jardine""]",author
Who is the author of Sevenwaters Trilogy?,Juliet Marillier,"[""Juliet Marillier""]",author
Who is the author of Visst katten har djuren själ!?,Margit Sandemo,"[""Margit Sandemo""]",author
Who is the author of A Boy and His Dog?,Harlan Ellison,"[""Harlan Ellison"", ""Harlan Jay Ellison""]",author
Who is the author of The Lower Depths?,Maxim Gorky,"[""Maxim Gorky"", ""Alexei Maximovich Peshkov"", ""Maksim Gor'ky"", ""Aleksey Maksimovich Peshkov"", ""Aleksey Peshkov"", ""Maksim Gorky"", ""Gorky"", ""Maxim Gorki""]",author
Who is the author of Dinner with Friends?,Donald Margulies,"[""Donald Margulies""]",author
Who is the author of Passage?,Connie Willis,"[""Connie Willis"", ""Constance Elaine Trimmer Willis""]",author
Who is the author of Henry?,Carl Thomas Anderson,"[""Carl Thomas Anderson"", ""Carl Anderson""]",author
Who is the author of Dogs?,Shirow Miwa,"[""Shirow Miwa""]",author
Who is the author of Fihi Ma Fihi?,Rumi,"[""Rumi"", ""Jalālauddīna Rūmī"", ""Ǧalāladdīn Rūmī"", ""Dzhalaliddin Rumi"", ""Jalaluʼddin Rumi"", ""Gialâl ad-Dîn Rûmî"", ""Jalálu-ʼd-ʼDín Muhammad i Rúmí"", ""Dzhaloluddin Rumi"", ""Celâleddin Rûmî"", ""Ŷalāl al-Dīn Rūmī"", ""Jalāluddīn Balkhī Rumī"", ""Jolalud-Din Rumi"", ""Zhaloliddin Rumiĭ"", ""Jalaladdin Rumi"", ""Dschelal-Eddin Rumi"", ""Jalāluddīn Muḥammad Balkhī Rūmī"", ""Rum"", ""Jalāl ad-Dīn ar-Rūmī"", ""Dschalaluddin Rumi"", ""Jalal-ud-din Rumi"", ""Jaláluddin Rumi"", ""Jalāl al-Dīn Muḥammad ibn Muḥammad Balkhī"", ""Jalāladdīn Rūmī"", ""Rūmī"", ""Dzhaloluddin Balkhii Rumi"", ""Dschelaleddin Rumi"", ""Jalal-e Din Rumi"", ""Jallal ed-Din Muhammad Balkhy"", ""Mawlana Rumi"", ""Jalāl al-Dīn Rūmī"", ""Celâleddin-i Rûmî"", ""Dschelaladdin Rumi"", ""Mevlâna"", ""Tzalalountin Roumi"", ""Djalâl-od-Dîn Rûmî"", ""Jaloliddin Rumiy"", ""Mevlana Jaláluddin Rumi"", ""Jelaluddin Rumi"", ""Mowlavi"", ""Ḏjalāl al-Dīn Rūmī"", ""Mowlana"", ""Mawlana"", ""Maulana"", ""Molavi"", ""Mevlevi"", ""Mawlawi"", ""Mevlana"", ""Jalal ad-Din Muhammad Balkhi"", ""Gialal ad-Din Rumi"", ""Celaleddin Rumi"", ""Jalaluddin Rumi"", ""Celaleddin-i Rumi"", ""Djalal-od-Din Rumi"", ""Mevlana Jalaluddin Rumi""]",author
Who is the author of Muna Madan?,Laxmi Prasad Devkota,"[""Laxmi Prasad Devkota"", ""Lakshmi Prasad Devkota"", ""Maha Kavi"", ""Laxmi Devkota"", ""Laxmi P. Devkota"", ""Maha Kavi Laxmi Prasad Devkota""]",author
Who is the author of Country of My Skull?,Antjie Krog,"[""Antjie Krog""]",author
Who is the author of A Woman of the Iron People?,Eleanor Arnason,"[""Eleanor Arnason"", ""Eleanor Atwood Arnason"", ""Eleanor A. Arnason""]",author
Who is the author of Invisible?,Pete Hautman,"[""Pete Hautman"", ""Peter Murray Hautman""]",author
Who is the author of 45?,Bill Drummond,"[""Bill Drummond"", ""King Boy D"", ""William Drummond"", ""William Ernest Drummond"", ""Time Boy"", ""Tenzing Scott Brown""]",author
Who is the author of Truth and Tolerance?,Benedict XVI,"[""Benedict XVI"", ""Joseph Aloisius Ratzinger"", ""Pope Benedict XVI"", ""Josef Ratzinger"", ""Benedetto XVI"", ""Pope Emeritus Benedict XVI"", ""Joseph Alois Ratzinger""]",author
Who is the author of Room?,Emma Donoghue,"[""Emma Donoghue""]",author
Who is the author of Changes?,Jim Butcher,"[""Jim Butcher""]",author
Who is the author of Let's Not?,Isaac Asimov,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]",author
Who is the author of Confessions?,Augustine of Hippo,"[""Augustine of Hippo"", ""Saint Augustine"", ""Saint Austin"", ""Augustine"", ""St. Augoustinos"", ""St. Augustine of Hippo"", ""Aurelius Augustinus"", ""Aurelius Augustine"", ""Aurelius Augustinus Hipponensis"", ""St. Augustine"", ""Augustinus"", ""Saint Augustine of Hippo"", ""Augustinus, Aurelius""]",author
Who is the author of Europe?,Henry James,"[""Henry James"", ""Henricus James""]",author
Who is the author of Sunset?,Erin Hunter,"[""Erin Hunter""]",author
Who is the author of Phoenix?,Osamu Tezuka,"[""Osamu Tezuka"", ""Tezuka Osamu""]",author
Who is the author of Ancestor?,Scott Sigler,"[""Scott Sigler""]",author
Who is the author of The Example?,Tom Taylor,"[""Tom Taylor"", ""Thomas Taylor""]",author
Who is the author of The Secret?,Rhonda Byrne,"[""Rhonda Byrne""]",author
Who is the author of Click?,Margo Lanagan,"[""Margo Lanagan"", ""Deborah Ellis"", ""Nick Hornby"", ""Nicholas Peter John Hornby"", ""David Almond"", ""Roddy Doyle"", ""Ruaidhrí Ó Dúill"", ""Ruaidhri O Duill"", ""Gregory Maguire"", ""Ruth Ozeki"", ""Ruth L. Ozeki"", ""Ruth Lounsbury Ozeki"", ""Tim Wynne-Jones"", ""Linda Sue Park""]",author
Who is the author of The Wild Duck?,Henrik Ibsen,"[""Henrik Ibsen"", ""Henrik Johan Ibsen"", ""Henrich Johan Ibsen"", ""Henrich Ibsen""]",author
"Who is the author of Tough, Tough Toys for Tough, Tough Boys?",Will Self,"[""Will Self"", ""William Woodard Self""]",author
Who is the author of Timestorm 2009–2099?,Brian Reed,"[""Brian Reed""]",author
Who is the author of Up at the Villa?,William Somerset Maugham,"[""William Somerset Maugham"", ""W. Somerset Maugham"", ""Somerset Maugham""]",author
Who is the author of The Way I Am?,Eminem,"[""Eminem"", ""M&M"", ""EMINƎM"", ""Slim Shady"", ""Marshall Mathers"", ""Marshall Bruce Mathers III"", ""B-Rabbit"", ""Double M"", ""Em"", ""King of Hip Hop"", ""King of all hip hop"", ""Slim"", ""Shady""]",author
Who is the author of Ruth?,Elizabeth Gaskell,"[""Elizabeth Gaskell"", ""Author of Mary Barton,"", ""Elizabeth Cleghorn Gaskell"", ""Elizabeth Cleghorn Stevenson"", ""Mrs. Gaskell, née Stevenson""]",author
Who is the author of The Tree?,John Fowles,"[""John Fowles""]",author
Who is the author of K.?,Mary Roberts Rinehart,"[""Mary Roberts Rinehart"", ""Mary Rinehart""]",author
Who is the author of Up Till Now: The Autobiography?,William Shatner,"[""William Shatner"", ""Bill Shatner""]",author
Who is the author of Before Midnight?,Rex Stout,"[""Rex Stout"", ""Rex Todhunter Stout""]",author
Who is the author of Marie?,H. Rider Haggard,"[""H. Rider Haggard"", ""Henry Rider Haggard"", ""Sir Henry Rider Haggard"", ""H. R. Haggard"", ""H Rider Haggard""]",author
Who is the author of Into the Woods?,Stephen Sondheim,"[""Stephen Sondheim"", ""Stephen Joshua Sondheim"", ""James Lapine"", ""James Elliot Lapine""]",author
Who is the author of The Assassins: A Radical Sect in Islam?,Bernard Lewis,"[""Bernard Lewis""]",author
Who is the author of Da?,Hugh Leonard,"[""Hugh Leonard""]",author
Who is the author of The Man from Snowy River?,Andrew Barton Paterson,"[""Andrew Barton Paterson"", ""Banjo Paterson"", ""A. B. Paterson""]",author
Who is the author of In America?,Susan Sontag,"[""Susan Sontag"", ""Susan Rosenblatt""]",author
Who is the author of MW?,Osamu Tezuka,"[""Osamu Tezuka"", ""Tezuka Osamu""]",author
Who is the author of White?,Ted Dekker,"[""Ted Dekker"", ""Theodore R. Dekker""]",author
Who is the author of Wit?,Margaret Edson,"[""Margaret Edson""]",author
Who is the author of Pursuit?,Andy Mangels,"[""Andy Mangels""]",author
Who is the author of El gesticulador?,Rodolfo Usigli,"[""Rodolfo Usigli""]",author
Who is the author of I Am NOT Going to Get Up Today!?,Dr. Seuss,"[""Dr. Seuss"", ""Theodor Seuss Geisel"", ""Dr. Theophrastus Seuss"", ""Doctor Seuss"", ""Seuss"", ""Theodore Seuss Geisel"", ""Theo LeSieg"", ""Rosetta Stone"", ""Theophrastus Seuss""]",author
Who is the author of Needle?,Hal Clement,"[""Hal Clement"", ""Harry Clement Stubbs"", ""George Richard"", ""Harry C. Stubbs"", ""Harry Stubbs""]",author
Who is the author of Salvage?,Orson Scott Card,"[""Orson Scott Card"", ""Brian Green"", ""Frederick Bliss"", ""Byron Walley"", ""Scott Richards"", ""Dinah Kirkham"", ""P.Q. Gump"", ""Byron S. Walley""]",author
Who is the author of The Saint?,Wesley Strick,"[""Wesley Strick"", ""Burl Barer"", ""Jonathan Hensleigh"", ""Jonathan Blair Hensleigh"", ""Leslie Charteris"", ""Leslie Charles Bowyer-Yin""]",author
Who is the author of The Certificate?,Isaac Bashevis Singer,"[""Isaac Bashevis Singer"", ""Isaac Bashevis-Singer"", ""Yitsḥoḳ Basheṿis"", ""Yitsḥaḳ Basheṿis-Zinger"", ""Yitsḥaḳ Basheṿis- Zinger"", ""I. B. Singer"", ""Itzhak Bashevis Singer"", ""Yitsḥoḳ Bashevis-Zinger"", ""Isaac Bashevis"", ""Yitsḥaḳ Basheṿis"", ""Yitsḥoḳ Bashevis- Zinger""]",author
Who is the author of A Married Man's Story?,Katherine Mansfield,"[""Katherine Mansfield"", ""Katherine Mansfield Beauchamp Murry"", ""Kathleen Murry"", ""Katherine Beauchamp Mansfield"", ""Kathleen Mansfield Murry""]",author
Who is the author of Cool?,Gwen Stefani,"[""Gwen Stefani"", ""Gwen Renée Stefani"", ""Gwen Renee Stefani"", ""Dallas Austin"", ""Dallas L. Austin""]",author
Who is the author of The Confessions of Mycroft Holmes: A Paper Chase?,Marcel Theroux,"[""Marcel Theroux"", ""Marcel Raymond Theroux""]",author
Who is the author of Shark?,Will Self,"[""Will Self"", ""William Woodard Self""]",author
Who is the author of Sprout?,Dale Peck,"[""Dale Peck""]",author
Who is the author of Cut?,Patricia McCormick,"[""Patricia McCormick""]",author
Who is the author of The Winner?,David Baldacci,"[""David Baldacci""]",author
Who is the author of Tomorrow?,Graham Swift,"[""Graham Swift"", ""Graham Colin Swift"", ""Graham Colin Swift FRSL""]",author
Who is the author of The Far Shore of Time?,Frederik Pohl,"[""Frederik Pohl"", ""Frederik George Pohl, Jr."", ""Frederik Pohl II"", ""Edson McCann"", ""Jordan Park"", ""Elton V. Andrews"", ""Paul Fleur"", ""Lee Gregor"", ""Warren F. Howard"", ""Scott Mariner"", ""Ernst Mason"", ""James McCreigh"", ""Dirk Wilson"", ""Donald Stacy""]",author
Who is the author of Incoming?,Andrew Motion,"[""Andrew Motion"", ""Sir Andrew Motion""]",author
Who is the author of Three Days to Never?,Tim Powers,"[""Tim Powers"", ""Timothy Thomas Powers"", ""Timotheus Powers"", ""Timothy Powers"", ""William Ashbless""]",author
Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Ann Brashares,"[""Ann Brashares""]",author
"Who is the author of Conan, Lord of the Black River?",Leonard Carpenter,"[""Leonard Carpenter"", ""Leonard Paul Carpenter""]",author
Who is the author of A Matter of Time?,Glen Cook,"[""Glen Cook"", ""Greg Stevens"", ""Glen Charles Cook""]",author
Who is the author of Legs?,William Kennedy,"[""William Kennedy"", ""William Joseph Kennedy""]",author
Who is the author of Mute?,Stephen King,"[""Stephen King"", ""Stephen Edwin King"", ""Richard Bachman"", ""John Swithen""]",author
Who is the author of Blue Latitudes?,Tony Horwitz,"[""Tony Horwitz"", ""Anthony Lander Horwitz""]",author
Who is the author of U.S.A.?,John Dos Passos,"[""John Dos Passos"", ""John Roderigo Dos Passos"", ""J. R. Dos Passos""]",author
Who is the author of Mechanics?,Aristotle,"[""Aristotle"", ""Aristoteles"", ""Aristotelis""]",author
Who is the author of The Smile?,Donna Jo Napoli,"[""Donna Jo Napoli""]",author
Who is the author of Beast?,Ally Kennen,"[""Ally Kennen""]",author
Who is the author of Corridor?,Alfian Sa'at,"[""Alfian Sa'at"", ""Alfian bin Sa'at""]",author
Who is the author of The Broker?,John Grisham,"[""John Grisham"", ""John Ray Grisham, Jr."", ""John Ray Grisham Jr""]",author
Who is the author of First Family?,David Baldacci,"[""David Baldacci""]",author
Who is the author of Passage?,Lois McMaster Bujold,"[""Lois McMaster Bujold""]",author
Who is the author of Ceremony?,Leslie Marmon Silko,"[""Leslie Marmon Silko""]",author
Who is the author of Easter?,August Strindberg,"[""August Strindberg"", ""Johan August Strindberg"", ""A. Sṭrindberg"", ""Augusts Strindbergs"", ""August Johan Strindberg"", ""Sutorintoberuku""]",author
Who is the author of Holes?,Louis Sachar,"[""Louis Sachar""]",author
Who is the author of Powers?,Brian Michael Bendis,"[""Brian Michael Bendis"", ""Brian Bendis"", ""Brian M. Bendis""]",author
Who is the author of Adam?,Ted Dekker,"[""Ted Dekker"", ""Theodore R. Dekker""]",author
Who is the author of Arena?,Fredric Brown,"[""Fredric Brown"", ""Fredric William Brown""]",author
Who is the author of Ink?,Hal Duncan,"[""Hal Duncan""]",author
Who is the author of The Survivor?,James Herbert,"[""James Herbert""]",author
Who is the author of Doctor Slaughter?,Paul Theroux,"[""Paul Theroux"", ""Paul Edward Theroux""]",author
Who is the author of The Crow?,James O'Barr,"[""James O'Barr""]",author
Who is the author of Sweet Eros?,Terrence McNally,"[""Terrence McNally""]",author
Who is the author of Non?,Nozomi Sasaki,"[""Nozomi Sasaki""]",author
Who is the author of Cages?,Dave McKean,"[""Dave McKean"", ""David McKean""]",author
Who is the author of Weight Loss?,Upamanyu Chatterjee,"[""Upamanyu Chatterjee""]",author
Who is the author of Replacements?,Lisa Tuttle,"[""Lisa Tuttle"", ""Laura Waring"", ""Maria Palmer"", ""Ben M. Baglio"", ""Lucy Daniels"", ""Lisa Gracia Tuttle""]",author
Who is the author of Success Story?,John Howard Lawson,"[""John Howard Lawson"", ""Edward Lewis""]",author
Who is the author of Regeneration?,Pat Barker,"[""Pat Barker""]",author
Who is the author of Candy?,Mason Hoffenberg,"[""Mason Hoffenberg"", ""Mason Kass Hoffenberg"", ""Terry Southern""]",author
Who is the author of Jalna?,Mazo de la Roche,"[""Mazo de la Roche"", ""Maisie Louise Roche""]",author
Who is the author of Everything?,Henry Rollins,"[""Henry Rollins"", ""Henry Garfield"", ""Henry Lawrence Garfield""]",author
Who is the author of Skyhigh?,Tsutomu Takahashi,"[""Tsutomu Takahashi""]",author
Who is the author of Christopher and His Kind?,Christopher Isherwood,"[""Christopher Isherwood"", ""Christopher William Bradshaw Isherwood""]",author
Who is the author of Find Me?,Rosie O'Donnell,"[""Rosie O'Donnell"", ""Roseann O'Donnell"", ""Roseann Teresa O'Donnell"", ""Roseanne Teresa O'Donnell""]",author
Who is the author of The Great Cow Race?,Jeff Smith,"[""Jeff Smith""]",author
Who is the author of Tarr?,Wyndham Lewis,"[""Wyndham Lewis"", ""Percy Wyndham Lewis"", ""Percy William Lewis"", ""Percy Lewis"", ""Wyndham Percy Lewis""]",author
Who is the author of Why I Write?,George Orwell,"[""George Orwell"", ""Eric Blair"", ""P. S. Burton"", ""Eric Arthur Blair"", ""John Freeman""]",author
Who is the author of The Village?,Ivan Bunin,"[""Ivan Bunin"", ""Ivan Alekseyevich Bunin""]",author
Who is the author of Partner?,Miho Obana,"[""Miho Obana""]",author
Who is the author of Durchmusterung?,Friedrich Wilhelm Argelander,"[""Friedrich Wilhelm Argelander"", ""Friedrich Wilhelm August Argelander""]",author
Who is the author of Maiwa's Revenge?,H. Rider Haggard,"[""H. Rider Haggard"", ""Henry Rider Haggard"", ""Sir Henry Rider Haggard"", ""H. R. Haggard"", ""H Rider Haggard""]",author
Who is the author of The Ball?,James Shirley,"[""James Shirley""]",author
Who is the author of F?,Noboru Rokuda,"[""Noboru Rokuda""]",author
Who is the author of The Day of the Pelican?,Katherine Paterson,"[""Katherine Paterson"", ""Katherine Womeldorf Paterson""]",author
Who is the author of Small g: a Summer Idyll?,Patricia Highsmith,"[""Patricia Highsmith"", ""Mary Patricia Plangman"", ""Claire Morgan""]",author
Who is the author of Passing?,Nella Larsen,"[""Nella Larsen"", ""Nella Larsen Imes""]",author
Who is the author of The Birthday?,Kōji Suzuki,"[""Kōji Suzuki"", ""Koji Suzuki"", ""Suzuki Kōji"", ""Suzuki Koji"", ""Kouji Suzuki""]",author
Who is the author of Solo?,Robert Mason,"[""Robert Mason"", ""Robert C. Mason""]",author
Who is the author of Suicide?,Viktor Suvorov,"[""Viktor Suvorov""]",author
Who is the author of Witt?,Patti Smith,"[""Patti Smith"", ""Patricia Lee Smith""]",author
Who is the author of The Wreck of the Mary Deare?,Hammond Innes,"[""Hammond Innes"", ""Ralph Hammond Innes"", ""Ralph Hammond""]",author
Who is the author of Her Smoke Rose Up Forever?,Alice Bradley Sheldon,"[""Alice Bradley Sheldon"", ""Raccoona Sheldon"", ""Alice Hastings Bradley"", ""Alice Sheldon"", ""James Tiptree Jr."", ""James Tiptree, Jr."", ""James Tiptree"", ""Alice B. Sheldon""]",author
Who is the author of Rigged?,Ben Mezrich,"[""Ben Mezrich""]",author
Who is the author of Color?,Eiki Eiki,"[""Eiki Eiki""]",author
Who is the author of Histories?,Herodotos,"[""Herodotos"", ""Herodotus of Halicarnassus"", ""Herodotus"", ""Father of History""]",author
Who is the author of Behind the Beautiful Forevers?,Katherine Boo,"[""Katherine Boo""]",author
Who is the author of Colony?,Rob Grant,"[""Rob Grant"", ""Robert Grant""]",author
Who is the author of On the Road?,Jimmie Johnson,"[""Jimmie Johnson"", ""Jimmie Kenneth Johnson""]",author
Who is the author of Four Fires?,Bryce Courtenay,"[""Bryce Courtenay"", ""Arthur Bryce Courtenay""]",author
Who is the author of Checkers?,John Marsden,"[""John Marsden""]",author
Who is the author of Kachō Kōsaku Shima?,Kenshi Hirokane,"[""Kenshi Hirokane""]",author
Who is the author of Damage?,Josephine Hart,"[""Josephine Hart""]",author
Who is the author of Midnight Tides?,Steven Erikson,"[""Steven Erikson"", ""Steve Rune Lundin"", ""Steve Lundin""]",author
Who is the author of Hot Water?,P. G. Wodehouse,"[""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""P.G. Wodehouse""]",author
Who is the author of State of the Art?,Pauline Kael,"[""Pauline Kael""]",author
Who is the author of Experience?,Ralph Waldo Emerson,"[""Ralph Waldo Emerson"", ""R. W. Emerson"", ""Waldo Emerson""]",author
Who is the author of Second Nature?,Michael Pollan,"[""Michael Pollan"", ""Michael Kevin Pollan""]",author
